condition,distance,structure,path,raw_probability,unattested_ngrams,dependency,n_gram,bootstrap_sample
Subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
Subject,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
Subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",8.610697702372295e-08,[],RC,Bigram,1
Subject,Long,Island,"['start', 'COMP_nominal', 'SUBJ', 'ADJUNCT', 'OBJ', 'end']",8.493489319365626e-15,"[('SUBJ', 'ADJUNCT')]",RC,Bigram,1
CNP,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
CNP,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
CNP,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.199053773104523e-07,[],RC,Bigram,1
CNP,Long,Island,"['start', 'OBJ', 'COMP_nominal', 'OBJ', 'end']",5.5643653364834255e-11,"[('OBJ', 'COMP_nominal')]",RC,Bigram,1
EQ,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
EQ,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
EQ,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",8.610697702372295e-08,[],RC,Bigram,1
EQ,Long,Island,"['start', 'COMP_wh-int', 'SUBJ', 'end']",8.438191364701678e-09,[],RC,Bigram,1
EQ-object,Short,noIsland,"['start', 'OBJ', 'end']",0.013250196105714398,[],RC,Bigram,1
EQ-object,Short,Island,"['start', 'OBJ', 'end']",0.013250196105714398,[],RC,Bigram,1
EQ-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.199053773104523e-07,[],RC,Bigram,1
EQ-object,Long,Island,"['start', 'COMP_wh-int', 'OBJ', 'end']",4.761581881523327e-10,[],RC,Bigram,1
Whether-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
Whether-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
Whether-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",8.610697702372295e-08,[],RC,Bigram,1
Whether-subject,Long,Island,"['start', 'COMP_pol-int', 'SUBJ', 'end']",3.8009871012169724e-10,[],RC,Bigram,1
Whether-object,Short,noIsland,"['start', 'OBJ', 'end']",0.013250196105714398,[],RC,Bigram,1
Whether-object,Short,Island,"['start', 'OBJ', 'end']",0.013250196105714398,[],RC,Bigram,1
Whether-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.199053773104523e-07,[],RC,Bigram,1
Whether-object,Long,Island,"['start', 'COMP_pol-int', 'OBJ', 'end']",5.576627428811105e-11,"[('COMP_pol-int', 'OBJ')]",RC,Bigram,1
Adjunct,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
Adjunct,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
Adjunct,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.199053773104523e-07,[],RC,Bigram,1
Adjunct,Long,Island,"['start', 'ADJUNCT_adv', 'OBJ', 'end']",4.289713406777772e-12,"[('start', 'ADJUNCT_adv'), ('ADJUNCT_adv', 'OBJ')]",RC,Bigram,1
RC-predlink,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
RC-predlink,Short,Island,"['start', 'PREDLINK', 'end']",0.0002031843971376844,[],RC,Bigram,1
RC-predlink,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.199053773104523e-07,[],RC,Bigram,1
RC-predlink,Long,Island,"['start', 'ADJUNCT_rel', 'OBJ', 'end']",4.289713406777772e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'OBJ')]",RC,Bigram,1
RC-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
RC-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
RC-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",8.610697702372295e-08,[],RC,Bigram,1
RC-subject,Long,Island,"['start', 'ADJUNCT_rel', 'SUBJ', 'end']",5.847672463410727e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'SUBJ')]",RC,Bigram,1
RC-Pcomp,Short,noIsland,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
RC-Pcomp,Short,Island,"['start', 'SUBJ', 'end']",0.03690170490645949,[],RC,Bigram,1
